,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
3,2,Michigan (1),12-0,745,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Michigan
4,3,Louisville,11-1,682,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Louisville
5,3,Arizona,11-0,682,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Arizona
6,5,Indiana,11-1,648,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Indiana
7,6,Kansas,10-1,642,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Kansas
8,7,Syracuse,10-1,559,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Syracuse
9,8,Cincinnati,12-0,543,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Cincinnati
10,9,Missouri,10-1,537,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Missouri
11,10,Ohio State,9-2,480,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Ohio State
12,11,Florida,8-2,406,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Florida
13,12,Creighton,11-1,395,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Creighton
14,13,Gonzaga,11-1,391,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Gonzaga
15,14,Minnesota,12-1,345,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Minnesota
16,15,Illinois,12-1,330,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Illinois
17,16,San Diego State,11-1,327,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),San Diego State
18,17,UNLV,11-1,240,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),UNLV
19,18,Georgetown,10-1,217,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Georgetown
20,19,Michigan State,11-2,207,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Michigan State
21,20,Notre Dame,12-1,181,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Notre Dame
22,21,Butler,9-2,136,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Butler
23,22,Oklahoma State,10-1,129,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Oklahoma State
24,23,Kentucky,8-3,108,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Kentucky
25,24,Pittsburgh,12-1,97,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),Pittsburgh
26,25,NC State,9-2,87,USA Today Coaches Poll,2012-13,8,2013 NCAA Men's Basketball Rankings -  Week 8 (Dec. 24),NC State
2,1,Duke (63),12-0,1623,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Duke
3,2,Michigan (2),13-0,1547,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Michigan
4,3,Arizona,12-0,1474,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Arizona
5,4,Louisville,12-1,1434,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Louisville
6,5,Indiana,12-1,1378,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Indiana
7,6,Kansas,11-1,1313,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Kansas
8,7,Syracuse,11-1,1197,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Syracuse
9,8,Ohio State,10-2,1079,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Ohio State
10,9,Minnesota,12-1,978,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Minnesota
11,10,Gonzaga,12-1,946,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Gonzaga
12,11,Illinois,13-1,929,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Illinois
13,12,Missouri,10-2,912,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Missouri
14,13,Florida,9-2,810,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Florida
15,14,Cincinnati,12-1,761,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Cincinnati
16,15,Georgetown,10-1,718,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Georgetown
17,16,Creighton,12-1,629,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Creighton
18,17,Butler,10-2,591,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Butler
19,18,Michigan State,11-2,447,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Michigan State
20,19,San Diego State,11-2,437,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),San Diego State
21,20,New Mexico,13-1,389,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),New Mexico
22,21,Notre Dame,12-1,361,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Notre Dame
23,22,Oklahoma State,10-1,333,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Oklahoma State
24,23,NC State,10-2,270,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),NC State
25,24,Pittsburgh,12-1,219,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Pittsburgh
26,25,Kansas State,10-2,149,AP Top 25,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Kansas State
2,1,Duke (30),12-0,774,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Duke
3,2,Michigan (1),13-0,744,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Michigan
4,3,Arizona,12-0,692,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Arizona
5,4,Louisville,12-1,678,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Louisville
6,5,Indiana,12-1,654,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Indiana
7,6,Kansas,11-1,643,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Kansas
8,7,Syracuse,11-1,575,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Syracuse
9,8,Ohio State,10-2,530,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Ohio State
10,9,Florida,9-2,451,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Florida
11,10,Gonzaga,12-1,439,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Gonzaga
12,11,Creighton,12-1,436,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Creighton
13,12,Missouri,10-2,420,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Missouri
14,13,Minnesota,12-1,417,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Minnesota
15,14,Illinois,13-1,358,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Illinois
16,15,Cincinnati,12-1,352,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Cincinnati
17,16,Georgetown,10-1,281,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Georgetown
18,17,San Diego State,11-2,242,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),San Diego State
19,18,Michigan State,11-2,228,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Michigan State
20,19,Notre Dame,12-1,201,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Notre Dame
21,20,Butler,10-2,194,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Butler
22,21,Oklahoma State,10-1,146,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Oklahoma State
23,22,Pittsburgh,12-1,124,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),Pittsburgh
24,23,New Mexico,13-1,109,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),New Mexico
25,24,UNLV,11-2,100,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),UNLV
26,25,NC State,10-2,95,USA Today Coaches Poll,2012-13,9,2013 NCAA Men's Basketball Rankings -  Week 9 (Dec. 31),NC State
2,1,Duke (62),14-0,1622,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Duke
3,2,Michigan (3),15-0,1553,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Michigan
4,3,Louisville,13-1,1447,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Louisville
5,4,Arizona,14-0,1442,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Arizona
6,5,Indiana,13-1,1381,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Indiana
7,6,Kansas,12-1,1322,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Kansas
8,7,Syracuse,14-1,1211,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Syracuse
9,8,Minnesota,14-1,1121,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Minnesota
10,9,Gonzaga,15-1,1064,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Gonzaga
11,10,Missouri,11-2,1006,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Missouri
12,11,Florida,10-2,922,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Florida
13,12,Illinois,14-2,881,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Illinois
14,13,Creighton,14-1,789,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Creighton
15,14,Butler,12-2,761,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Butler
16,15,Ohio State,11-3,710,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Ohio State
17,16,San Diego State,12-2,591,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),San Diego State
18,17,Notre Dame,13-1,547,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Notre Dame
19,18,Kansas State,12-2,472,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Kansas State
20,19,Georgetown,10-2,441,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Georgetown
21,20,NC State,12-2,438,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),NC State
22,21,Cincinnati,13-2,375,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Cincinnati
23,22,Michigan State,12-3,267,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Michigan State
24,23,Wichita State,14-1,135,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Wichita State
25,24,UNLV,13-2,113,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),UNLV
26,25,New Mexico,13-2,102,AP Top 25,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),New Mexico
2,1,Duke (30),14-0,774,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Duke
3,2,Michigan (1),15-0,744,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Michigan
4,3,Arizona,14-0,691,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Arizona
5,4,Louisville,13-1,677,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Louisville
6,5,Indiana,13-1,649,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Indiana
7,6,Kansas,12-1,640,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Kansas
8,7,Syracuse,14-1,585,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Syracuse
9,8,Gonzaga,15-1,511,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Gonzaga
10,9,Florida,10-2,496,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Florida
11,10,Minnesota,14-1,488,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Minnesota
12,11,Creighton,14-1,469,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Creighton
13,12,Missouri,11-2,447,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Missouri
14,13,Illinois,14-2,366,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Illinois
15,14,Ohio State,11-3,355,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Ohio State
16,15,San Diego State,12-2,314,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),San Diego State
17,16,Notre Dame,13-1,285,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Notre Dame
18,17,Butler,12-2,274,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Butler
19,18,Michigan State,12-3,190,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Michigan State
20,19,UNLV,13-2,170,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),UNLV
21,20,Cincinnati,13-2,165,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Cincinnati
22,21,NC State,12-2,153,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),NC State
23,22,Georgetown,10-2,138,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Georgetown
24,23,Kansas State,12-2,131,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Kansas State
25,24,VCU,12-3,85,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),VCU
26,25,Wyoming,13-0,70,USA Today Coaches Poll,2012-13,10,2013 NCAA Men's Basketball Rankings -  Week 10 (Jan. 7),Wyoming
2,1,Louisville (36),15-1,1591,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Louisville
3,2,Indiana (13),15-1,1527,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Indiana
4,3,Duke (14),15-1,1501,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Duke
5,4,Kansas (1),14-1,1416,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Kansas
6,5,Michigan (1),16-1,1415,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Michigan
7,6,Syracuse,16-1,1284,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Syracuse
8,7,Arizona,15-1,1205,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Arizona
9,8,Gonzaga,16-1,1141,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Gonzaga
10,9,Minnesota,15-2,1041,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Minnesota
11,10,Florida,12-2,1019,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Florida
12,11,Ohio State,13-3,939,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Ohio State
13,12,Creighton,16-1,896,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Creighton
14,13,Butler,14-2,855,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Butler
15,14,NC State,14-2,836,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),NC State
16,15,San Diego State,14-2,704,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),San Diego State
17,16,Kansas State,13-2,670,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Kansas State
18,17,Missouri,12-3,598,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Missouri
19,18,Michigan State,14-3,426,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Michigan State
20,19,New Mexico,15-2,368,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),New Mexico
21,20,Notre Dame,14-2,295,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Notre Dame
22,21,Oregon,14-2,238,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Oregon
23,22,VCU,14-3,212,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),VCU
24,23,Illinois,14-4,199,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Illinois
25,24,UCLA,14-3,185,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),UCLA
26,25,Marquette,12-3,177,AP Top 25,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Marquette
2,1,Louisville (18),15-1,753,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Louisville
3,2,Indiana (6),15-1,718,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Indiana
4,3,Duke (7),15-1,707,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Duke
5,4,Kansas,14-1,680,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Kansas
6,5,Michigan,16-1,678,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Michigan
7,6,Syracuse,16-1,619,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Syracuse
8,7,Arizona,15-1,574,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Arizona
9,8,Gonzaga,16-1,552,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Gonzaga
10,9,Florida,12-2,526,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Florida
11,10,Creighton,16-1,489,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Creighton
12,11,Ohio State,13-3,436,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Ohio State
13,12,Minnesota,15-2,433,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Minnesota
14,13,Butler,14-2,370,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Butler
15,14,San Diego State,14-2,366,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),San Diego State
16,15,NC State,14-2,321,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),NC State
17,16,Missouri,12-3,298,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Missouri
18,17,Michigan State,14-3,286,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Michigan State
19,18,Kansas State,13-2,243,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Kansas State
20,19,VCU,14-3,178,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),VCU
21,20,Notre Dame,14-2,155,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Notre Dame
22,21,New Mexico,15-2,147,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),New Mexico
23,22,Illinois,14-4,125,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Illinois
24,23,UNLV,14-3,109,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),UNLV
25,24,Cincinnati,14-3,80,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),Cincinnati
26,25,UCLA,14-3,38,USA Today Coaches Poll,2012-13,11,2013 NCAA Men's Basketball Rankings -  Week 11 (Jan. 14),UCLA
2,1,Duke (39),16-1,1578,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Duke
3,2,Michigan (11),17-1,1539,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Michigan
4,3,Syracuse (8),17-1,1486,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Syracuse
5,3,Kansas (7),16-1,1486,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Kansas
6,5,Louisville,16-2,1348,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Louisville
7,6,Arizona,16-1,1270,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Arizona
8,7,Indiana,16-2,1211,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Indiana
9,8,Florida,14-2,1181,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Florida
10,9,Butler,16-2,1146,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Butler
11,10,Gonzaga,17-2,994,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Gonzaga
12,11,Kansas State,15-2,927,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Kansas State
13,12,Minnesota,15-3,905,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Minnesota
14,13,Michigan State,16-3,831,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Michigan State
15,14,Ohio State,13-4,701,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Ohio State
16,15,New Mexico,16-2,659,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),New Mexico
17,16,Oregon,16-2,624,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Oregon
18,17,Creighton,17-2,611,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Creighton
19,18,NC State,15-3,587,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),NC State
20,19,VCU,16-3,433,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),VCU
21,20,Wichita State,17-2,363,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Wichita State
22,21,Cincinnati,16-3,322,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Cincinnati
23,22,Missouri,13-4,234,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Missouri
24,23,Ole Miss,15-2,172,AP Top 25,2012-13,12,2013 NCAA Men's Basketball Rankings -  Week 12 (Jan. 21),Ole Miss
